City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
195,Punta Arenas,CL,50.0,Clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
197,Busselton,AU,88.0,Clear,-33.65,115.33,Observatory Guest House
198,Ushuaia,AR,46.4,Clouds,-54.8,-68.3,Albatros Hotel
200,Chor,PK,86.14,Clear,25.52,69.77,Asad U Bajeer Hotel
201,Jamestown,US,45.0,Fog,42.1,-79.24,Hampton Inn & Suites Jamestown
202,Luanda,AO,80.6,Clouds,-8.84,13.23,EPIC SANA Luanda
205,Vaini,TO,82.4,Clouds,-21.2,-175.2,Keleti Beach Resort
206,Olinda,BR,84.2,Clouds,-8.01,-34.86,Hotel 5 Sóis
208,Ushuaia,AR,46.4,Clouds,-54.8,-68.3,Albatros Hotel
211,Flinders,AU,70.0,Rain,-34.58,150.86,Shellharbour Resort & Conference Centre
212,Souillac,MU,84.0,Rain,-20.52,57.52,Bils' Villa
213,Nicoya,CR,78.8,Clouds,10.15,-85.45,Guayacan Real
214,Dickinson,US,70.0,Mist,29.46,-95.05,Candlewood Suites League City
216,Luderitz,,64.4,Clear,-26.65,15.16,LÜDERITZ NEST HOTEL
217,New Norfolk,AU,66.99,Clouds,-42.78,147.06,The Shingles Riverside Cottages
218,Kapaa,US,73.4,Mist,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
220,Ushuaia,AR,46.4,Clouds,-54.8,-68.3,Albatros Hotel
221,Lorengau,PG,85.46,Clouds,-2.02,147.27,Lorengau Harbourside Hotel
222,Ushuaia,AR,46.4,Clouds,-54.8,-68.3,Albatros Hotel
224,Hobart,AU,66.99,Clouds,-42.88,147.33,St Ives Apartments
225,Luderitz,,64.4,Clear,-26.65,15.16,LÜDERITZ NEST HOTEL
226,Forestville,US,52.0,Rain,38.85,-76.88,Quality Inn
227,Bima,ID,87.46,Clouds,-8.47,118.72,Lambitu Hotel
228,Bredasdorp,ZA,69.01,Clouds,-34.53,20.04,Bredasdorp Country Manor
229,Georgetown,MY,91.4,Clouds,5.41,100.34,Cititel Penang
230,Portland,US,50.0,Clouds,45.52,-122.68,Portland Marriott City Center
233,Acapulco,MX,80.6,Clouds,16.86,-99.89,HS Hotsson Smart Acapulco
234,Banchory,GB,37.4,Rain,57.05,-2.49,Tor-Na-Coille Hotel
235,Cape Town,ZA,64.0,Clear,-33.93,18.42,Southern Sun Waterfront Cape Town
236,Cape Town,ZA,64.0,Clear,-33.93,18.42,Southern Sun Waterfront Cape Town
237,Vallenar,CL,57.11,Clear,-28.57,-70.76,Humacao Bed & Breakfast
238,Kahuta,PK,71.01,Clear,33.59,73.39,Fazal shah bhukhari
239,Bethel,US,51.01,Clouds,41.37,-73.41,Courtyard by Marriott Danbury
240,Saint-Philippe,RE,86.0,Clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
241,Hilo,US,73.4,Rain,19.73,-155.09,Hilo Hawaiian Hotel
243,Batticaloa,LK,85.69,Clouds,7.71,81.69,Treatooo City Hotel Batticaloa
244,Asau,RO,41.0,Clouds,46.43,26.4,Casa Mika Ciobanus
245,Port Alfred,ZA,66.99,Clear,-33.59,26.89,The Halyards Hotel
246,Bluff,NZ,60.01,Clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
248,Albany,US,46.99,Clouds,42.6,-73.97,
249,Hermanus,ZA,69.01,Clear,-34.42,19.23,Misty Waves Boutique Hotel
254,Albany,US,46.99,Clouds,42.6,-73.97,
257,Cockburn Town,TC,74.41,Clouds,21.46,-71.14,Osprey Beach Hotel
258,Bell Ville,AR,62.01,Clear,-32.63,-62.69,Hotel Central
259,Williams Lake,CA,28.4,Clouds,52.14,-122.14,Stampeder Motel
260,Mwingi,KE,74.86,Clouds,-0.93,38.06,Thorn Tree by The Address
261,Richards Bay,ZA,73.9,Clear,-28.78,32.04,BON Hotel Waterfront Richards Bay
263,Adrar,MR,65.16,Clear,20.5,-10.07,
264,Avarua,CK,82.4,Clouds,-21.21,-159.78,Paradise Inn
265,Busselton,AU,88.0,Clear,-33.65,115.33,Observatory Guest House
266,Misratah,LY,63.72,Clouds,32.38,15.09,فندق الماسة
267,Chacabuco,AR,66.0,Clear,-34.64,-60.47,Las Moras Multiespacio
268,Saskylakh,RU,19.44,Clouds,71.92,114.08,Saskylakh Aeroport
269,Praia,CV,75.2,Haze,14.92,-23.51,LT Aparthotel
270,Bandarbeyla,SO,77.67,Clouds,9.49,50.81,REER XOOSHLE GROUP
272,Araouane,ML,67.75,Clear,18.9,-3.53,
274,Puerto Ayora,EC,80.01,Clear,-0.74,-90.35,Finch Bay Galapagos Hotel
278,Busselton,AU,88.0,Clear,-33.65,115.33,Observatory Guest House
279,Karratha,AU,86.43,Clouds,-20.74,116.85,ibis Styles Karratha
280,Ancud,CL,50.0,Clear,-41.87,-73.82,HOTEL ANCUD DON LUCAS
281,Puerto Ayora,EC,80.01,Clear,-0.74,-90.35,Finch Bay Galapagos Hotel
282,Atuona,PF,82.27,Clouds,-9.8,-139.03,Villa Enata
284,Saskylakh,RU,19.44,Clouds,71.92,114.08,Saskylakh Aeroport
285,Saint-Pierre,RE,86.0,Clouds,-21.34,55.48,Lindsey Hôtel
286,Shitanjing,CN,37.33,Clear,39.23,106.34,
288,Kiama,AU,70.0,Rain,-34.68,150.87,The Sebel Kiama Harbourside
289,Lebu,CL,51.55,Clear,-37.62,-73.65,Hostal Las Lilas
291,Bluff,NZ,60.01,Clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
294,Nikolskoye,RU,32.0,Clouds,59.7,30.79,Tourist House - Sablino
295,Port Lincoln,AU,66.74,Clouds,-34.73,135.87,Port Lincoln Hotel
297,Thompson,CA,12.2,Snow,55.74,-97.86,Burntwood Hotel
299,Lata,PT,57.0,Clouds,40.16,-8.33,Casa Maquia
304,Geraldton,AU,96.8,Clear,-28.77,114.6,Broadwater Mariner Resort
305,Margate,GB,39.0,Clear,51.38,1.39,Premier Inn Margate hotel
307,Cayenne,GF,75.2,Clouds,4.93,-52.33,Hôtel Le Dronmi
309,New Norfolk,AU,66.99,Clouds,-42.78,147.06,The Shingles Riverside Cottages
310,Busselton,AU,88.0,Clear,-33.65,115.33,Observatory Guest House
311,Acajutla,SV,81.41,Clear,13.59,-89.83,Villavela Hotel Boutique
313,Lazaro Cardenas,MX,71.71,Clear,17.96,-102.2,Hotel Quinta Antigua
317,Bure,ET,78.67,Clouds,10.7,37.07,Tsion Hotel
318,Sao Joao Da Barra,BR,71.02,Clouds,-21.64,-41.05,Pousada Porto De Canoas
319,Iquique,CL,71.6,Clear,-20.22,-70.14,Backpacker`s Hostel Iquique
321,Nikolskoye,RU,32.0,Clouds,59.7,30.79,Tourist House - Sablino
322,Abu Kamal,SY,56.35,Clear,34.45,40.92,
323,Darlawn,IN,80.6,Haze,24.02,92.9,BNRGSK BUILDING
